@relation InstanceResultListener

@attribute Key_Dataset {wisconsin-breast-cancer,german_credit,segment,vehicle}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.REPTree,weka.classifiers.rules.JRip}
@attribute Key_Scheme_options {'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-F 3 -N 2.0 -O 2 -S 1'}
@attribute Key_Scheme_version_ID {-9216785998198681299,-6589312996832147161}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureTreeSize numeric
@attribute measureNumRules numeric

@data

wisconsin-breast-cancer,1,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,69,1,0,98.571429,1.428571,0,0.96861,0.041496,0.126932,9.192036,26.741073,64.928403,1076.847683,-1011.919279,0.927549,15.383538,-14.45599,59.93591,0.856227,6444.932923,0.978261,45,0,0,1,24,0.021739,1,1,0.978261,0.989011,0.969087,0.978261,0.992547,0.985714,0.007453,0.992547,0.014286,0.986286,0.985714,0.985782,0.969087,0.978261,0.979751,0.984301,0.985714,0.009,0,0.01,0,10,0,5146,70164,9233,98.571429,54.285714,?,21,?
wisconsin-breast-cancer,1,2,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,63,7,0,90,10,0,0.766444,0.121694,0.285305,26.956908,60.105779,64.928403,30.879695,34.048709,0.927549,0.441138,0.48641,47.706453,0.681521,5129.894335,0.978261,45,0.25,6,0.75,18,0.021739,1,0.882353,0.978261,0.927835,0.777338,0.925272,0.928949,0.9,0.171739,0.828261,0.1,0.904644,0.9,0.896763,0.777338,0.925272,0.918289,0.882522,0.9,0.005,0,0.01,0,10,0,3259,70164,9233,95.714286,66.428571,?,7,?
wisconsin-breast-cancer,1,3,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,67,3,0,95.714286,4.285714,0,0.90583,0.056003,0.181525,12.405536,38.242133,64.928403,12.79677,52.131633,0.927549,0.182811,0.744738,57.290505,0.818436,6160.471443,0.956522,44,0.041667,1,0.958333,23,0.043478,2,0.977778,0.956522,0.967033,0.906276,0.980072,0.989265,0.957143,0.042288,0.957712,0.042857,0.957968,0.957143,0.957345,0.906276,0.980072,0.969683,0.952904,0.957143,0.004,0.001,0,0.01,0,10,4830,70164,9233,98.571429,57.142857,?,19,?
wisconsin-breast-cancer,1,4,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,62,8,0,88.571429,11.428571,0,0.751332,0.12134,0.301176,26.878611,63.449371,64.928403,35.255487,29.672916,0.927549,0.50365,0.423899,47.283615,0.67548,5084.426461,0.891304,41,0.125,3,0.875,21,0.108696,5,0.931818,0.891304,0.911111,0.752788,0.922554,0.936795,0.885714,0.11941,0.88059,0.114286,0.889261,0.885714,0.88673,0.752788,0.922554,0.906357,0.875556,0.885714,0.004,0,0.01,0,10,0,4805,70164,9233,94.285714,56.428571,?,19,?
wisconsin-breast-cancer,1,5,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,64,6,0,91.428571,8.571429,0,0.820513,0.102218,0.23412,22.64278,49.322571,64.928403,17.460663,47.46774,0.927549,0.249438,0.678111,50.522833,0.721755,5432.740844,0.869565,40,0,0,1,24,0.130435,6,1,0.869565,0.930233,0.834058,0.983696,0.98847,0.914286,0.04472,0.95528,0.085714,0.931429,0.914286,0.916058,0.834058,0.983696,0.972665,0.909561,0.914286,0.005,0,0,0,0,0,3525,70164,9233,100,71.428571,?,9,?
wisconsin-breast-cancer,1,6,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,69,1,0,98.571429,1.428571,0,0.96861,0.035959,0.098427,7.965523,20.735805,64.928403,4.529892,60.398511,0.927549,0.064713,0.862836,60.521736,0.864596,6507.927008,0.978261,45,0,0,1,24,0.021739,1,1,0.978261,0.989011,0.969087,0.999547,0.999537,0.985714,0.007453,0.992547,0.014286,0.986286,0.985714,0.985782,0.969087,0.999547,0.999125,0.984301,0.985714,0.005,0,0,0,0,0,4564,70164,9233,100,55,?,17,?
wisconsin-breast-cancer,1,7,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,66,4,0,94.285714,5.714286,0,0.875666,0.085423,0.234242,18.922359,49.348232,64.928403,23.269709,41.658694,0.927549,0.332424,0.595124,53.361562,0.762308,5737.990555,0.934783,43,0.041667,1,0.958333,23,0.065217,3,0.977273,0.934783,0.955556,0.877363,0.938406,0.955011,0.942857,0.049741,0.950259,0.057143,0.945504,0.942857,0.943365,0.877363,0.938406,0.915713,0.937778,0.942857,0.004,0.001,0,0,0,0,3766,70164,9233,98.571429,68.571429,?,11,?
wisconsin-breast-cancer,1,8,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,65,5,0,92.857143,7.142857,0,0.843049,0.094792,0.254101,20.997707,53.532061,64.928403,1094.047596,-1029.119193,0.927549,15.629251,-14.701703,51.686633,0.73838,5557.884782,0.934783,43,0.083333,2,0.916667,22,0.065217,3,0.955556,0.934783,0.945055,0.843465,0.941123,0.961602,0.928571,0.077122,0.922878,0.071429,0.929651,0.928571,0.928908,0.843465,0.941123,0.927943,0.921507,0.928571,0.004,0.001,0,0.01,0,10,4539,70164,9233,94.285714,52.142857,?,17,?
wisconsin-breast-cancer,1,9,weka.classifiers.trees.REPTree,'-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0',-9216785998198681299,20160817.1417,629,70,66,4,0,94.285714,5.714286,0,0.875556,0.077911,0.212451,17.108325,44.321614,65.85904,17.833991,48.025049,0.940843,0.254771,0.686072,55.209009,0.7887,5946.039131,0.955556,43,0.08,2,0.92,23,0.044444,2,0.955556,0.955556,0.955556,0.875556,0.969778,0.969089,0.942857,0.067302,0.932698,0.057143,0.942857,0.942857,0.942857,0.875556,0.969778,0.964018,0.937778,0.942857,0.004,0.001,0.01,0,10,0,4614,70164,9233,98.571429,60,?,17,?
